ID,X,Y,Z,formation,azimuth,dip,polarity,fault,overturned,erosion,source,type,use,depth
F-01,585755,5244190,1320,faultA1,0,0,1,y,n,0,Fandel 2019,interface,y,0
F-02,587455,5245800,1167,faultA1,0,0,1,y,n,0,Fandel 2019,interface,y,0
F-03,586774,5245300,1264,faultA1,45,90,1,y,n,0,Fandel 2019,orientation,y,0
F-03a,586774,5245300,1264,faultA1,0,0,1,y,n,0,Fandel 2019,interface,y,-50
F-03b,586774,5245300,1264,faultA1,0,0,1,y,n,0,Fandel 2019,interface,y,50
F-04,584017,5247160,1819,faultA2,0,0,1,y,n,0,Fandel 2019,interface,y,0
F-05,586022,5249130,1519,faultA2,0,0,1,y,n,0,Fandel 2019,interface,y,0
F-06,584538,5247580,1956,faultA2,48,90,1,y,n,0,Fandel 2019,orientation,y,0
F-06a,584538,5247580,1956,faultA2,0,0,1,y,n,0,Fandel 2019,interface,y,-50
F-06b,584538,5247580,1956,faultA2,0,0,1,y,n,0,Fandel 2019,interface,y,50
F-07,582489,5246380,1921,faultA4,0,0,1,y,n,0,Fandel 2019,interface,y,0
F-08,584063,5247350,1874,faultA4,0,0,1,y,n,0,Fandel 2019,interface,y,0
F-09,583213,5246800,1876,faultA4,55,90,1,y,n,0,Fandel 2019,orientation,y,0
F-09a,583213,5246800,1876,faultA4,0,0,1,y,n,0,Fandel 2019,interface,y,-50
F-09b,583213,5246800,1876,faultA4,0,0,1,y,n,0,Fandel 2019,orientation,y,50
F-10,583774,5245330,1943,faultB1,0,0,1,y,n,0,Fandel 2019,interface,y,0
F-11,585716,5244560,1444,faultB1,0,0,1,y,n,0,Fandel 2019,interface,y,0
F-12,584499,5245170,1745,faultB1,100,90,1,y,n,0,Fandel 2019,orientation,y,0
F-12a,584499,5245170,1745,faultB1,0,0,1,y,n,0,Fandel 2019,interface,y,-50
F-12b,584499,5245170,1745,faultB1,0,0,1,y,n,0,Fandel 2019,interface,y,50
F-13,583908,5247570,1926,faultB2,0,0,1,y,n,0,Fandel 2019,interface,y,0
F-14,585135,5246530,1636,faultB2,0,0,1,y,n,0,Fandel 2019,interface,y,0
F-15,584328,5247180,1851,faultB2,130,90,1,y,n,0,Fandel 2019,orientation,y,0
F-15a,584328,5247180,1851,faultB2,0,0,1,y,n,0,Fandel 2019,interface,y,-50
F-15b,584328,5247180,1851,faultB2,0,0,1,y,n,0,Fandel 2019,interface,y,50
F-16,585572,5246130,1591,faultB14,0,0,1,y,n,0,Fandel 2019,interface,y,0
F-17,587382,5245350,1146,faultB14,0,0,1,y,n,0,Fandel 2019,interface,y,0
F-18,586298,5245820,1394,faultB14,110,90,1,y,n,0,Fandel 2019,orientation,y,0
F-18a,586298,5245820,1394,faultB14,0,0,1,y,n,0,Fandel 2019,interface,y,-50
F-18b,586298,5245820,1394,faultB14,0,0,1,y,n,0,Fandel 2019,interface,y,50
F-19,588952,5247070,1192,faultA13,0,0,1,y,n,0,Fandel 2019,interface,y,0
F-20,588997,5246380,1032,faultA13,0,0,1,y,n,0,Fandel 2019,interface,y,0
F-21,588992,5246450,1011,faultA13,175,90,1,y,n,0,Fandel 2019,orientation,y,0
F-21a,588992,5246450,1011,faultA13,0,0,1,y,n,0,Fandel 2019,interface,y,-50
F-21b,588992,5246450,1011,faultA13,0,0,1,y,n,0,Fandel 2019,interface,y,50
F-22,588976,5246800,1040,faultA4,176,90,1,y,n,0,Fandel 2019,orientation,y,0
F-23,586327,5247940,1521,faultC2,16,75,1,y,n,0,Fandel 2019,orientation,y,0
F-24,585278,5248250,1730,faultA2,46,74,1,y,n,0,Fandel 2019,orientation,y,0
G-AB-00a,582970,5244930,2102,Garschella,0,0,1,n,n,1,Goldscheider 1997,xsec,y,0
G-AB-00b,582970,5244930,2102,Schrattenkalk,0,0,1,n,n,0,Goldscheider 1997,xsec,y,125
G-AB-00c,582970,5244930,2102,Drusberg,0,0,1,n,n,0,Goldscheider 1997,xsec,y,385
G-AB-02a,583106,5245250,2116,Schrattenkalk,0,0,1,n,n,0,Goldscheider 1997,xsec,y,30
G-AB-02b,583106,5245250,2116,Drusberg,0,0,1,n,n,0,Goldscheider 1997,xsec,y,250
G-AB-05a,583232,5245540,2077,Schrattenkalk,0,0,1,n,n,0,Goldscheider 1997,xsec,y,75
G-AB-05b,583232,5245540,2077,Drusberg,0,0,1,n,n,0,Goldscheider 1997,xsec,y,315
G-AB-07a,583339,5245790,2002,Schrattenkalk,0,0,1,n,n,0,Goldscheider 1997,xsec,y,110
G-AB-07b,583339,5245790,2002,Drusberg,0,0,1,n,n,0,Goldscheider 1997,xsec,y,305
G-AB-08a,583550,5246270,1939,Garschella,0,0,1,n,n,1,Goldscheider 1997,xsec,y,0
G-AB-08b,583550,5246270,1939,Schrattenkalk,0,0,1,n,n,0,Goldscheider 1997,xsec,y,100
G-AB-08c,583550,5246270,1939,Drusberg,0,0,1,n,n,0,Goldscheider 1997,xsec,y,318
G-AB-10a,583869,5247000,1825,Garschella,0,0,1,n,n,1,Goldscheider 1997,xsec,y,0
G-AB-10b,583869,5247000,1825,Schrattenkalk,0,0,1,n,n,0,Goldscheider 1997,xsec,y,95
G-AB-10c,583869,5247000,1825,Drusberg,0,0,1,n,n,0,Goldscheider 1997,xsec,y,310
G-AB-11a,583969,5247230,1847,Garschella,0,0,1,n,n,0,Goldscheider 1997,xsec,y,0
G-AB-11b,583969,5247230,1847,Schrattenkalk,0,0,1,n,n,0,Goldscheider 1997,xsec,y,89
G-AB-11c,583969,5247230,1847,Drusberg,0,0,1,n,n,0,Goldscheider 1997,xsec,y,312
G-AB-12a,584078,5247490,1928,Garschella,0,0,1,n,n,1,Goldscheider 1997,xsec,y,0
G-AB-12b,584078,5247490,1928,Schrattenkalk,0,0,1,n,n,0,Goldscheider 1997,xsec,y,95
G-AB-12c,584078,5247490,1928,Drusberg,0,0,1,n,n,0,Goldscheider 1997,xsec,y,325
G-AB-13a,584134,5247610,1997,Garschella,0,0,1,n,n,1,Goldscheider 1997,xsec,y,0
G-AB-13b,584134,5247610,1997,Schrattenkalk,0,0,1,n,n,0,Goldscheider 1997,xsec,y,90
G-AB-13c,584134,5247610,1997,Drusberg,0,0,1,n,n,0,Goldscheider 1997,xsec,y,335
G-AB-16a,584280,5247960,1779,Garschella,0,0,1,n,n,0,Goldscheider 1997,xsec,y,-363
G-AB-16b,584280,5247960,1779,Schrattenkalk,0,0,1,n,n,0,Goldscheider 1997,xsec,y,-283
G-AB-16c,584280,5247960,1779,Drusberg,0,0,1,n,n,0,Goldscheider 1997,xsec,y,60
G-AB-18a,584395,5248220,1692,Garschella,0,0,1,n,n,0,Goldscheider 1997,xsec,y,-163
G-AB-18b,584395,5248220,1692,Schrattenkalk,0,0,1,n,n,0,Goldscheider 1997,xsec,y,217
G-AB-18c,584395,5248220,1692,Drusberg,0,0,1,n,n,0,Goldscheider 1997,xsec,y,499
G-CD-00a,583940,5244410,1920,Garschella,0,0,1,n,n,1,Goldscheider 1997,xsec,y,0
G-CD-00b,583940,5244410,1920,Schrattenkalk,0,0,1,n,n,0,Goldscheider 1997,xsec,y,127
G-CD-02a,584118,5244820,1833,Garschella,0,0,1,n,n,0,Goldscheider 1997,xsec,y,-267
G-CD-02b,584118,5244820,1833,Schrattenkalk,0,0,1,n,n,0,Goldscheider 1997,xsec,y,-160
G-CD-04a,584237,5245100,1847,Garschella,0,0,1,n,n,0,Goldscheider 1997,xsec,y,-80
G-CD-04b,584237,5245100,1847,Schrattenkalk,0,0,1,n,n,0,Goldscheider 1997,xsec,y,115
G-CD-05a,584351,5245380,1866,Garschella,0,0,1,n,n,1,Goldscheider 1997,xsec,y,0
G-CD-05b,584351,5245380,1866,Schrattenkalk,0,0,1,n,n,0,Goldscheider 1997,xsec,y,93
G-CD-07a,584552,5245840,1884,Garschella,0,0,1,n,n,1,Goldscheider 1997,xsec,y,0
G-CD-07b,584552,5245840,1884,Schrattenkalk,0,0,1,n,n,0,Goldscheider 1997,xsec,y,103
G-CD-08a,584702,5246200,1787,Garschella,0,0,1,n,n,1,Goldscheider 1997,xsec,y,0
G-CD-08b,584702,5246200,1787,Schrattenkalk,0,0,1,n,n,0,Goldscheider 1997,xsec,y,112
G-CD-09a,584859,5246560,1669,Garschella,0,0,1,n,n,1,Goldscheider 1997,xsec,y,0
G-CD-09b,584859,5246560,1669,Schrattenkalk,0,0,1,n,n,0,Goldscheider 1997,xsec,y,113
