time,QE,QA,QS
'22-Dec-2013 08:00:00',na,0,186.1726334
'22-Dec-2013 09:00:00',na,0,193.6234979
'22-Dec-2013 10:00:00',na,0,197.347637
'22-Dec-2013 11:00:00',na,0,192.5949627
'22-Dec-2013 12:00:00',na,0,192.4589705
'22-Dec-2013 13:00:00',na,0,192.5949088
'22-Dec-2013 14:00:00',na,0,192.7648748
'22-Dec-2013 15:00:00',na,0,192.7648748
'22-Dec-2013 16:00:00',na,0,192.900716
'22-Dec-2013 17:00:00',na,0,193.2063402
'22-Dec-2013 18:00:00',na,0,193.0365789
'22-Dec-2013 19:00:00',na,0,196.7513025
'22-Dec-2013 20:00:00',na,0,202.870904
'22-Dec-2013 21:00:00',na,0,204.6412809
'22-Dec-2013 22:00:00',na,0,204.5639112
'22-Dec-2013 23:00:00',na,0,204.1336375
'23-Dec-2013 00:00:00',na,0,204.3322788
'23-Dec-2013 01:00:00',na,0,204.3984829
'23-Dec-2013 02:00:00',na,0,204.5308236
'23-Dec-2013 03:00:00',na,0,204.7623308
'23-Dec-2013 04:00:00',na,0,212.2989436
'23-Dec-2013 05:00:00',na,0,209.0105577
'23-Dec-2013 06:00:00',na,0,206.0171277
'23-Dec-2013 07:00:00',na,0,207.7254567
'23-Dec-2013 08:00:00',na,0,209.9505734
'23-Dec-2013 09:00:00',na,0,209.8265303
'23-Dec-2013 10:00:00',na,0,209.7610428
'23-Dec-2013 11:00:00',na,0,209.6628812
'23-Dec-2013 12:00:00',na,0,209.3381778
'23-Dec-2013 13:00:00',na,0,209.4054515
'23-Dec-2013 14:00:00',na,0,209.3076716
'23-Dec-2013 15:00:00',na,0,209.2096037
'23-Dec-2013 16:00:00',na,0,209.2545708
'23-Dec-2013 17:00:00',na,0,209.118257
'23-Dec-2013 18:00:00',na,0,209.015455
'23-Dec-2013 19:00:00',na,0,208.8897232
'23-Dec-2013 20:00:00',na,0,214.8327715
'23-Dec-2013 21:00:00',na,0,217.4643275
'23-Dec-2013 22:00:00',na,0,213.7614061
'23-Dec-2013 23:00:00',na,0,211.5239682
'24-Dec-2013 00:00:00',na,0,222.2037476
'24-Dec-2013 01:00:00',na,0,220.2683835
'24-Dec-2013 02:00:00',na,0.19565016,218.5431045
'24-Dec-2013 03:00:00',na,2.547444964,217.9969022
'24-Dec-2013 04:00:00',na,5.422304485,218.125474
'24-Dec-2013 05:00:00',na,8.29716401,218.1254825
'24-Dec-2013 06:00:00',na,11.17202353,218.4510032
'24-Dec-2013 07:00:00',na,14.04688305,223.4764003
'24-Dec-2013 08:00:00',na,16.92174258,223.1070005
'24-Dec-2013 09:00:00',na,19.7966021,222.9226547
'24-Dec-2013 10:00:00',na,22.67146162,222.8271634
'24-Dec-2013 11:00:00',na,25.54632114,222.7316639
'24-Dec-2013 12:00:00',na,28.42118067,222.8271716
'24-Dec-2013 13:00:00',na,31.29604019,222.667984
'24-Dec-2013 14:00:00',na,34.17089971,222.7953193
'24-Dec-2013 15:00:00',na,37.04575923,222.7316476
'24-Dec-2013 16:00:00',na,39.92061876,222.9226302
'24-Dec-2013 17:00:00',na,42.79547828,231.6040493
'24-Dec-2013 18:00:00',na,45.67033781,235.8444292
'24-Dec-2013 19:00:00',na,48.54519733,235.7123012
'24-Dec-2013 20:00:00',na,51.42005685,235.9295368
'24-Dec-2013 21:00:00',na,54.29491637,244.2208012
'24-Dec-2013 22:00:00',na,57.16977589,248.3975533
'24-Dec-2013 23:00:00',na,60.44929612,244.6061739
'25-Dec-2013 00:00:00',na,68.53138305,245.2456106
'25-Dec-2013 01:00:00',na,77.80966485,254.6067308
'25-Dec-2013 02:00:00',na,87.08794664,254.3932456
'25-Dec-2013 03:00:00',na,96.36622845,264.1590835
'25-Dec-2013 04:00:00',na,105.6445103,265.7166096
'25-Dec-2013 05:00:00',na,114.922792,263.365218
'25-Dec-2013 06:00:00',na,124.2010738,267.9720952
'25-Dec-2013 07:00:00',na,136.5626899,275.2652021
'25-Dec-2013 08:00:00',na,154.0631963,281.0716377
'25-Dec-2013 09:00:00',na,171.5637026,281.4681314
'25-Dec-2013 10:00:00',na,189.064209,276.6795311
'25-Dec-2013 11:00:00',na,206.5647154,283.1296241
'25-Dec-2013 12:00:00',na,224.0652218,291.1876221
'25-Dec-2013 13:00:00',na,241.5657282,306.1059894
'25-Dec-2013 14:00:00',na,263.1860363,339.3857497
'25-Dec-2013 15:00:00',na,288.6389748,352.184387
'25-Dec-2013 16:00:00',na,314.0919134,356.5258409
'25-Dec-2013 17:00:00',na,332.7,360.0561675
'25-Dec-2013 18:00:00',na,339.9,363.8012232
'25-Dec-2013 19:00:00',na,347.1,373.9297512
'25-Dec-2013 20:00:00',na,354.3,383.9017195
'25-Dec-2013 21:00:00',na,351.5714286,382.7613862
'25-Dec-2013 22:00:00',na,342.8857143,377.5874431
'25-Dec-2013 23:00:00',na,334.2,369.8576269
'26-Dec-2013 00:00:00',na,325.5142857,361.6385332
'26-Dec-2013 01:00:00',na,316.8285714,356.1738662
'26-Dec-2013 02:00:00',na,308.1428571,350.6452636
'26-Dec-2013 03:00:00',na,299.4571429,344.3377127
'26-Dec-2013 04:00:00',na,290.7714286,337.6883347
'26-Dec-2013 05:00:00',na,282.0919861,329.403216
'26-Dec-2013 06:00:00',na,273.4878049,318.6187305
'26-Dec-2013 07:00:00',na,264.902439,304.851828
'26-Dec-2013 08:00:00',na,256.3170732,288.1702592
'26-Dec-2013 09:00:00',na,247.7317073,275.9889255
'26-Dec-2013 10:00:00',na,239.1463415,270.296878
'26-Dec-2013 11:00:00',na,230.5609756,273.295217
'26-Dec-2013 12:00:00',na,221.9756097,273.5383873
'26-Dec-2013 13:00:00',na,213.3902439,267.5839208
'26-Dec-2013 14:00:00',na,204.804878,265.0752254
'26-Dec-2013 15:00:00',na,196.2195122,261.706053
'26-Dec-2013 16:00:00',na,190.5478292,260.2567367
'26-Dec-2013 17:00:00',na,186.6243559,260.2575923
'26-Dec-2013 18:00:00',na,182.7008826,257.6627894
'26-Dec-2013 19:00:00',na,178.7774092,254.8286604
'26-Dec-2013 20:00:00',na,174.8539359,254.9579954
'26-Dec-2013 21:00:00',na,170.9304626,254.8939859
'26-Dec-2013 22:00:00',na,167.0069893,253.1138245
'26-Dec-2013 23:00:00',na,163.083516,249.6203867
'27-Dec-2013 00:00:00',na,159.1600426,249.5901237
'27-Dec-2013 01:00:00',na,155.2365693,249.4993874
'27-Dec-2013 02:00:00',na,151.313096,240.5157826
'27-Dec-2013 03:00:00',na,147.3896227,245.6323707
'27-Dec-2013 04:00:00',na,143.4661494,237.5504201
'27-Dec-2013 05:00:00',na,139.5426761,237.3547114
'27-Dec-2013 06:00:00',na,135.6192028,234.6219056
'27-Dec-2013 07:00:00',na,131.6957294,232.7554716
'27-Dec-2013 08:00:00',na,127.7722561,233.00512
'27-Dec-2013 09:00:00',na,123.8487828,232.9115112
'27-Dec-2013 10:00:00',na,119.9253095,232.7242561
'27-Dec-2013 11:00:00',na,116.0018362,228.9245292
'27-Dec-2013 12:00:00',na,112.0783629,226.0634571
'27-Dec-2013 13:00:00',na,108.1548895,226.6902243
'27-Dec-2013 14:00:00',na,104.2314162,228.5927146
'27-Dec-2013 15:00:00',na,100.9798947,229.671994
'27-Dec-2013 16:00:00',na,99.88150913,228.8054671
'27-Dec-2013 17:00:00',na,98.93072587,227.7395294
'27-Dec-2013 18:00:00',na,97.9799426,226.3492328
'27-Dec-2013 19:00:00',na,97.02915934,224.9534492
'27-Dec-2013 20:00:00',na,96.07837607,228.1987304
'27-Dec-2013 21:00:00',na,95.1275928,232.0243876
'27-Dec-2013 22:00:00',na,94.17680954,230.2115692
'27-Dec-2013 23:00:00',na,93.22602628,230.6980143
'28-Dec-2013 00:00:00',na,92.27524301,232.6784654
'28-Dec-2013 01:00:00',na,91.32445974,232.4034423
'28-Dec-2013 02:00:00',na,90.37367648,230.5988921
'28-Dec-2013 03:00:00',na,89.42289321,230.3415874
'28-Dec-2013 04:00:00',na,88.47210995,229.9910029
'28-Dec-2013 05:00:00',na,87.52132668,229.7714816
'28-Dec-2013 06:00:00',na,86.57054342,229.3585692
'28-Dec-2013 07:00:00',na,85.61976015,228.4513084
