gpIDs,sksIDs,swmmIDs
testgp01020,testgp01020sks122110011296000000002,testgp01020sks122110011296000000002swmmR1_low
,testgp01020sks162210011563111110002,testgp01020sks122110011296000000002swmmR1_QE
,testgp01020sks112010011124000000002,testgp01020sks122110011296000000002swmmR1_QA
,testgp01020sks132110011921111110002,testgp01020sks122110011296000000002swmmR1_QS
,testgp01020sks102210011756111110002,testgp01020sks162210011563111110002swmmR1_low
,testgp01020sks122210011250222220002,testgp01020sks162210011563111110002swmmR1_QE
,testgp01020sks112010011237000000002,testgp01020sks162210011563111110002swmmR1_QA
,testgp01020sks162110011856111110002,testgp01020sks162210011563111110002swmmR1_QS
,testgp01020sks142110011039111110002,testgp01020sks112010011124000000002swmmR1_low
,testgp01020sks162110011852000000002,testgp01020sks112010011124000000002swmmR1_QE
,,testgp01020sks112010011124000000002swmmR1_QA
,,testgp01020sks112010011124000000002swmmR1_QS
,,testgp01020sks132110011921111110002swmmR1_low
,,testgp01020sks132110011921111110002swmmR1_QE
,,testgp01020sks132110011921111110002swmmR1_QA
,,testgp01020sks132110011921111110002swmmR1_QS
,,testgp01020sks102210011756111110002swmmR1_low
,,testgp01020sks102210011756111110002swmmR1_QE
,,testgp01020sks102210011756111110002swmmR1_QA
,,testgp01020sks102210011756111110002swmmR1_QS
,,testgp01020sks122210011250222220002swmmR1_low
,,testgp01020sks122210011250222220002swmmR1_QE
,,testgp01020sks122210011250222220002swmmR1_QA
,,testgp01020sks122210011250222220002swmmR1_QS
,,testgp01020sks112010011237000000002swmmR1_low
,,testgp01020sks112010011237000000002swmmR1_QE
,,testgp01020sks112010011237000000002swmmR1_QA
,,testgp01020sks112010011237000000002swmmR1_QS
,,testgp01020sks162110011856111110002swmmR1_low
,,testgp01020sks162110011856111110002swmmR1_QE
,,testgp01020sks162110011856111110002swmmR1_QA
,,testgp01020sks162110011856111110002swmmR1_QS
,,testgp01020sks142110011039111110002swmmR1_low
,,testgp01020sks142110011039111110002swmmR1_QE
,,testgp01020sks142110011039111110002swmmR1_QA
,,testgp01020sks142110011039111110002swmmR1_QS
,,testgp01020sks162110011852000000002swmmR1_low
,,testgp01020sks162110011852000000002swmmR1_QE
,,testgp01020sks162110011852000000002swmmR1_QA
,,testgp01020sks162110011852000000002swmmR1_QS
,,testgp01020sks102210011756111110002swmm0
,,testgp01020sks102210011756111110002swmm1
,,testgp01020sks102210011756111110002swmm2
,,testgp01020sks102210011756111110002swmm3
,,testgp01020sks102210011756111110002swmm4
,,testgp01020sks162110011852000000002swmm0
,,testgp01020sks162110011852000000002swmm1
,,testgp01020sks162110011852000000002swmm2
,,testgp01020sks162110011852000000002swmm3
,,testgp01020sks162110011852000000002swmm4
,,testgp01020sks162110011856111110002swmm0
,,testgp01020sks162110011856111110002swmm1
,,testgp01020sks162110011856111110002swmm2
,,testgp01020sks162110011856111110002swmm3
,,testgp01020sks162110011856111110002swmm4
,,baseswmm0
,,baseswmm0
,,baseswmm1
,,baseswmm2
,,baseswmm3
,,baseswmm4
