,testgp01020,testgp01020sks122110011296000000002,testgp01020sks162210011563111110002,testgp01020sks112010011124000000002,testgp01020sks132110011921111110002,testgp01020sks102210011756111110002,testgp01020sks122210011250222220002,testgp01020sks112010011237000000002,testgp01020sks162110011856111110002,testgp01020sks142110011039111110002,testgp01020sks162110011852000000002,testgp01020sks122110011296000000002swmmR1_low,testgp01020sks122110011296000000002swmmR1_QE,testgp01020sks122110011296000000002swmmR1_QA,testgp01020sks122110011296000000002swmmR1_QS,testgp01020sks162210011563111110002swmmR1_low,testgp01020sks162210011563111110002swmmR1_QE,testgp01020sks162210011563111110002swmmR1_QA,testgp01020sks162210011563111110002swmmR1_QS,testgp01020sks112010011124000000002swmmR1_low,testgp01020sks112010011124000000002swmmR1_QE,testgp01020sks112010011124000000002swmmR1_QA,testgp01020sks112010011124000000002swmmR1_QS,testgp01020sks132110011921111110002swmmR1_low,testgp01020sks132110011921111110002swmmR1_QE,testgp01020sks132110011921111110002swmmR1_QA,testgp01020sks132110011921111110002swmmR1_QS,testgp01020sks102210011756111110002swmmR1_low,testgp01020sks102210011756111110002swmmR1_QE,testgp01020sks102210011756111110002swmmR1_QA,testgp01020sks102210011756111110002swmmR1_QS,testgp01020sks122210011250222220002swmmR1_low,testgp01020sks122210011250222220002swmmR1_QE,testgp01020sks122210011250222220002swmmR1_QA,testgp01020sks122210011250222220002swmmR1_QS,testgp01020sks112010011237000000002swmmR1_low,testgp01020sks112010011237000000002swmmR1_QE,testgp01020sks112010011237000000002swmmR1_QA,testgp01020sks112010011237000000002swmmR1_QS,testgp01020sks162110011856111110002swmmR1_low,testgp01020sks162110011856111110002swmmR1_QE,testgp01020sks162110011856111110002swmmR1_QA,testgp01020sks162110011856111110002swmmR1_QS,testgp01020sks142110011039111110002swmmR1_low,testgp01020sks142110011039111110002swmmR1_QE,testgp01020sks142110011039111110002swmmR1_QA,testgp01020sks142110011039111110002swmmR1_QS,testgp01020sks162110011852000000002swmmR1_low,testgp01020sks162110011852000000002swmmR1_QE,testgp01020sks162110011852000000002swmmR1_QA,testgp01020sks162110011852000000002swmmR1_QS,testgp01020sks102210011756111110002swmm0,testgp01020sks102210011756111110002swmm1,testgp01020sks102210011756111110002swmm2,testgp01020sks102210011756111110002swmm3,testgp01020sks102210011756111110002swmm4,testgp01020sks162110011852000000002swmm0,testgp01020sks162110011852000000002swmm1,testgp01020sks162110011852000000002swmm2,testgp01020sks162110011852000000002swmm3,testgp01020sks162110011852000000002swmm4,testgp01020sks162110011856111110002swmm0,testgp01020sks162110011856111110002swmm1,testgp01020sks162110011856111110002swmm2,testgp01020sks162110011856111110002swmm3,testgp01020sks162110011856111110002swmm4
Cmult,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMAaqf,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMAfra,,2,10,1.5,3,1.2,2,1.5,10,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altSpgs,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataSource,best,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faultNames,"['faultB1', 'faultA1']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fixedInlets,,top9,top13,top5,top9,top13,top13,top5,top9,top9,top9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fracFactor,,"[8, 2]","[6, 3, 1]","[8, 2]","[6, 3, 1]","[6, 3, 1]","[5, 3, 1.5, 0.5]","[8, 2]","[6, 3, 1]","[6, 3, 1]","[8, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inletFactor,,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isFault,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maxDip,,"[90, 90]","[90, 90, 90]","[90, 90]","[90, 90, 90]","[90, 90, 90]","[100, 100, 100, 100]","[90, 90]","[90, 90, 90]","[90, 90, 90]","[90, 90]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maxLen,,900,600,700,400,900,350,1000,900,5000,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
